model,tensor,role,layer,fmt,alpha,n_params,bits_per_value,bits_codes,bits_scales,bytes,changed_frac,has_calib,werr,werr_mxonly,mse,mse_mxonly
Qwen3-0.6B,model.layers.5.mlp.up_proj.weight,up_proj,5,mxfp8,1.0,3145728,6.526507059733073,6.4824879964192705,0.044019063313802086,2566327,0.1052096684773763,True,0.8112157583236694,0.7877642512321472,6.684580853288935e-07,6.441375148824591e-07
Qwen3-0.6B,model.layers.5.mlp.up_proj.weight,up_proj,5,mxfp8,5.0,3145728,6.3728179931640625,6.328798929850261,0.044019063313802086,2505894,0.21574179331461588,True,0.9739213585853577,0.7877642512321472,8.302561695927579e-07,6.441375148824591e-07
Qwen3-0.6B,model.layers.5.self_attn.k_proj.weight,k_proj,5,mxfp4,0.0,1048576,3.9058456420898438,3.8623275756835938,0.04351806640625,511947,0.0,True,4.287902355194092,4.287902355194092,1.0484064659976866e-05,1.0484064659976866e-05
Qwen3-0.6B,model.layers.5.self_attn.k_proj.weight,k_proj,5,mxfp4,1.0,1048576,3.8723831176757812,3.8288650512695312,0.04351806640625,507561,0.05146312713623047,True,4.404054641723633,4.287902355194092,1.1357224138919264e-05,1.0484064659976866e-05
Qwen3-0.6B,model.layers.5.self_attn.k_proj.weight,k_proj,5,mxfp4,5.0,1048576,3.5256195068359375,3.4821014404296875,0.04351806640625,462110,0.3636636734008789,True,7.527037143707275,4.287902355194092,3.279958764323965e-05,1.0484064659976866e-05
Qwen3-0.6B,model.layers.5.self_attn.k_proj.weight,k_proj,5,mxfp8,0.0,1048576,6.660621643066406,6.617103576660156,0.04351806640625,873021,0.0,True,0.2576383650302887,0.2576383650302887,7.008671332187077e-07,7.008671332187077e-07
Qwen3-0.6B,model.layers.5.self_attn.k_proj.weight,k_proj,5,mxfp8,1.0,1048576,6.468894958496094,6.425376892089844,0.04351806640625,847891,0.16112041473388672,True,0.26575109362602234,0.2576383650302887,7.506189945161168e-07,7.008671332187077e-07
Qwen3-0.6B,model.layers.5.self_attn.k_proj.weight,k_proj,5,mxfp8,5.0,1048576,6.2526702880859375,6.2091522216796875,0.04351806640625,819550,0.39857006072998047,True,0.35441091656684875,0.2576383650302887,1.347338866253267e-06,7.008671332187077e-07
Qwen3-0.6B,model.layers.5.self_attn.o_proj.weight,o_proj,5,mxfp4,0.0,2097152,3.9663734436035156,3.919208526611328,0.0471649169921875,1039761,0.0,True,0.3587964177131653,0.3587964177131653,9.7115698736161e-06,9.7115698736161e-06
Qwen3-0.6B,model.layers.5.self_attn.o_proj.weight,o_proj,5,mxfp4,1.0,2097152,3.2261314392089844,3.178966522216797,0.0471649169921875,845711,0.539177417755127,True,1.31159508228302,0.3587964177131653,5.265477011562325e-05,9.7115698736161e-06
Qwen3-0.6B,model.layers.5.self_attn.o_proj.weight,o_proj,5,mxfp4,5.0,2097152,2.995075225830078,2.9479103088378906,0.0471649169921875,785141,0.6582207679748535,True,2.003113269805908,0.3587964177131653,6.673759344266728e-05,9.7115698736161e-06
Qwen3-0.6B,model.layers.5.self_attn.o_proj.weight,o_proj,5,mxfp8,0.0,2097152,6.655574798583984,6.608409881591797,0.0471649169921875,1744719,0.0,True,0.023561956360936165,0.023561956360936165,6.514354708997416e-07,6.514354708997416e-07
Qwen3-0.6B,model.layers.5.self_attn.o_proj.weight,o_proj,5,mxfp8,1.0,2097152,6.093669891357422,6.046504974365234,0.0471649169921875,1597419,0.5967130661010742,True,0.06254196912050247,0.023561956360936165,2.7212026907363907e-06,6.514354708997416e-07
Qwen3-0.6B,model.layers.5.self_attn.o_proj.weight,o_proj,5,mxfp8,5.0,2097152,5.891941070556641,5.844776153564453,0.0471649169921875,1544537,0.757166862487793,True,0.11748971790075302,0.023561956360936165,4.086189164809184e-06,6.514354708997416e-07
Qwen3-0.6B,model.layers.5.self_attn.q_proj.weight,q_proj,5,mxfp4,0.0,2097152,3.898448944091797,3.8564796447753906,0.04196929931640625,1021955,0.0,True,8.335308074951172,8.335308074951172,1.249710112460889e-05,1.249710112460889e-05
Qwen3-0.6B,model.layers.5.self_attn.q_proj.weight,q_proj,5,mxfp4,1.0,2097152,3.8680496215820312,3.826080322265625,0.04196929931640625,1013986,0.056525230407714844,True,8.583681106567383,8.335308074951172,1.340964445262216e-05,1.249710112460889e-05
Qwen3-0.6B,model.layers.5.self_attn.q_proj.weight,q_proj,5,mxfp4,5.0,2097152,3.5284690856933594,3.486499786376953,0.04196929931640625,924967,0.39034223556518555,True,15.923561096191406,8.335308074951172,3.7748181057395414e-05,1.249710112460889e-05
Qwen3-0.6B,model.layers.5.self_attn.q_proj.weight,q_proj,5,mxfp8,0.0,2097152,6.666187286376953,6.624217987060547,0.04196929931640625,1747501,0.0,True,0.4685211777687073,0.4685211777687073,8.280568977170333e-07,8.280568977170333e-07
Qwen3-0.6B,model.layers.5.self_attn.q_proj.weight,q_proj,5,mxfp8,1.0,2097152,6.492877960205078,6.450908660888672,0.04196929931640625,1702069,0.13649368286132812,True,0.4850892722606659,0.4685211777687073,8.760279115449521e-07,8.280568977170333e-07
Qwen3-0.6B,model.layers.5.self_attn.q_proj.weight,q_proj,5,mxfp8,5.0,2097152,6.306087493896484,6.264118194580078,0.04196929931640625,1653103,0.3726058006286621,True,0.709195077419281,0.4685211777687073,1.6319264659614419e-06,8.280568977170333e-07
Qwen3-0.6B,model.layers.5.self_attn.v_proj.weight,v_proj,5,mxfp4,0.0,1048576,3.900665283203125,3.8552474975585938,0.04541778564453125,511268,0.0,True,2.9617676734924316,2.9617676734924316,1.0778539035527501e-05,1.0778539035527501e-05
Qwen3-0.6B,model.layers.5.self_attn.v_proj.weight,v_proj,5,mxfp4,1.0,1048576,3.8798446655273438,3.8344268798828125,0.04541778564453125,508539,0.04925060272216797,True,3.059509515762329,2.9617676734924316,1.1530877600307576e-05,1.0778539035527501e-05
Qwen3-0.6B,model.layers.5.self_attn.v_proj.weight,v_proj,5,mxfp4,5.0,1048576,3.60595703125,3.5605392456054688,0.04541778564453125,472640,0.39782047271728516,True,6.829452991485596,2.9617676734924316,3.739042585948482e-05,1.0778539035527501e-05
Qwen3-0.6B,model.layers.5.self_attn.v_proj.weight,v_proj,5,mxfp8,0.0,1048576,6.688819885253906,6.643402099609375,0.04541778564453125,876717,0.0,True,0.15488006174564362,0.15488006174564362,7.194893214546028e-07,7.194893214546028e-07
Qwen3-0.6B,model.layers.5.self_attn.v_proj.weight,v_proj,5,mxfp8,1.0,1048576,6.524421691894531,6.47900390625,0.04541778564453125,855169,0.14243507385253906,True,0.16230016946792603,0.15488006174564362,7.626302931384998e-07,7.194893214546028e-07
Qwen3-0.6B,model.layers.5.self_attn.v_proj.weight,v_proj,5,mxfp8,5.0,1048576,6.317695617675781,6.27227783203125,0.04541778564453125,828073,0.3798561096191406,True,0.2532222867012024,0.15488006174564362,1.3691490039491327e-06,7.194893214546028e-07
Qwen3-0.6B,model.layers.6.mlp.down_proj.weight,down_proj,6,mxfp4,0.0,3145728,3.902654012044271,3.8570327758789062,0.045621236165364586,1534586,0.0,True,0.9305325746536255,0.9305325746536255,8.838824214763008e-06,8.838824214763008e-06
Qwen3-0.6B,model.layers.6.mlp.down_proj.weight,down_proj,6,mxfp4,1.0,3145728,3.6004791259765625,3.5548578898111978,0.045621236165364586,1415766,0.42313385009765625,True,2.6484646797180176,0.9305325746536255,3.476854908512905e-05,8.838824214763008e-06
Qwen3-0.6B,model.layers.6.mlp.down_proj.weight,down_proj,6,mxfp4,5.0,3145728,3.3529841105143228,3.3073628743489585,0.045621236165364586,1318447,0.6439666748046875,True,5.447971343994141,0.9305325746536255,6.110264803282917e-05,8.838824214763008e-06
Qwen3-0.6B,model.layers.6.mlp.down_proj.weight,down_proj,6,mxfp8,0.0,3145728,6.693135579427083,6.647514343261719,0.045621236165364586,2631848,0.0,True,0.06166527047753334,0.06166527047753334,5.972582926005998e-07,5.972582926005998e-07
Qwen3-0.6B,model.layers.6.mlp.down_proj.weight,down_proj,6,mxfp8,1.0,3145728,6.272972106933594,6.2273508707682295,0.045621236165364586,2466633,0.4251365661621094,True,0.11738844215869904,0.06166527047753334,1.4378200603459845e-06,5.972582926005998e-07
Qwen3-0.6B,model.layers.6.mlp.down_proj.weight,down_proj,6,mxfp8,5.0,3145728,5.9721934000651045,5.926572163899739,0.045621236165364586,2348362,0.7183329264322916,True,0.29451656341552734,0.06166527047753334,3.424308715693769e-06,5.972582926005998e-07
Qwen3-0.6B,model.layers.6.mlp.gate_proj.weight,gate_proj,6,mxfp4,0.0,3145728,3.9214579264322915,3.8841959635416665,0.037261962890625,1541980,0.0,True,39.838130950927734,39.838130950927734,1.4840113180980552e-05,1.4840113180980552e-05
Qwen3-0.6B,model.layers.6.mlp.gate_proj.weight,gate_proj,6,mxfp4,1.0,3145728,3.9093526204427085,3.8720906575520835,0.037261962890625,1537220,0.002368927001953125,True,39.85551452636719,39.838130950927734,1.4874647604301572e-05,1.4840113180980552e-05
Qwen3-0.6B,model.layers.6.mlp.gate_proj.weight,gate_proj,6,mxfp4,5.0,3145728,3.8287226359049478,3.7914606730143228,0.037261962890625,1505515,0.1013959248860677,True,44.599613189697266,39.838130950927734,1.931237602548208e-05,1.4840113180980552e-05
Qwen3-0.6B,model.layers.6.mlp.gate_proj.weight,gate_proj,6,mxfp8,0.0,3145728,6.639701843261719,6.602439880371094,0.037261962890625,2610837,0.0,True,2.692122220993042,2.692122220993042,9.81420157586399e-07,9.81420157586399e-07
Qwen3-0.6B,model.layers.6.mlp.gate_proj.weight,gate_proj,6,mxfp8,1.0,3145728,6.490267435709636,6.453005472819011,0.037261962890625,2552077,0.1044162114461263,True,2.732200860977173,2.692122220993042,1.0157517635889235e-06,9.81420157586399e-07
