n_params,rows,cols,sqnr_db,nmse,max_abs_err,rms_weight,kurtosis,block_kurtosis,block_crest,code_entropy,code_entropy_ratio,scale_entropy,scale_span,zero_rate,top_level_rate,sat_rate,sat_block_rate,n_blocks,bits_per_value,bytes_bf16,bytes_mx,model,tensor,fmt,role,layer,dtype
2097152,2048,1024,30.470620121486153,0.0008973006613627629,0.0302734375,0.0312691793594718,9.447966147631158,3.10506010055542,2.453962802886963,6.570724351020085,0.8213405438775107,1.6198644266072832,6,8.106231689453125e-06,0.0111541748046875,0.007846355438232422,0.187255859375,65536,8.25,4194304,2162688,Qwen3-0.6B,model.layers.11.self_attn.q_proj.weight,mxfp8,q_proj,11,bfloat16
1048576,1024,1024,18.63980119458094,0.013677914370582018,0.03125,0.025682003911203736,4.036952681055072,3.2153639793395996,2.4907541275024414,3.8284769154345084,0.9571192288586271,1.20872544302877,4,0.10025787353515625,0.053908348083496094,0.02326488494873047,0.397613525390625,32768,4.25,2097152,557056,Qwen3-0.6B,model.layers.11.self_attn.v_proj.weight,mxfp4,v_proj,11,bfloat16
1048576,1024,1024,30.425693984777233,0.0009066310770788138,0.01513671875,0.025682003911203736,4.036952681055072,3.2153639793395996,2.4907541275024414,6.593708020784485,0.8242135025980606,1.20872544302877,4,3.814697265625e-06,0.011285781860351562,0.00798797607421875,0.18914794921875,32768,8.25,2097152,1081344,Qwen3-0.6B,model.layers.11.self_attn.v_proj.weight,mxfp8,v_proj,11,bfloat16
3145728,1024,3072,18.58250235892416,0.013859570249668093,0.11328125,0.024967818110314843,4.193536881852693,3.109450340270996,2.473716894785563,3.8410434961904514,0.9602608740476128,1.235341884833184,5,0.09209664662679036,0.057532310485839844,0.024890581766764324,0.429840087890625,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.12.mlp.down_proj.weight,mxfp4,down_proj,12,bfloat16
3145728,1024,3072,30.35244876840516,0.0009220513821020053,0.05078125,0.024967818110314843,4.193536881852693,3.109450340270996,2.473716894785563,6.561810463370186,0.8202263079212733,1.235341884833184,5,3.814697265625e-06,0.012061119079589844,0.008459726969401041,0.205963134765625,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.12.mlp.down_proj.weight,mxfp8,down_proj,12,bfloat16
3145728,3072,1024,18.72147490894962,0.01342309021703374,0.05859375,0.02970867943899299,4.339221954173583,2.8921286265055337,2.390716552734375,3.8508766167225175,0.9627191541806294,1.2538056466536665,4,0.08737405141194661,0.05806954701741537,0.024219512939453125,0.4120686848958333,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.12.mlp.gate_proj.weight,mxfp4,gate_proj,12,bfloat16
3145728,3072,1024,30.4879037384945,0.0008937367703336629,0.025390625,0.02970867943899299,4.339221954173583,2.8921286265055337,2.390716552734375,6.5309059725550345,0.8163632465693793,1.2538056466536665,4,6.039937337239583e-06,0.011432647705078125,0.007926305135091146,0.18871053059895834,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.12.mlp.gate_proj.weight,mxfp8,gate_proj,12,bfloat16
3145728,3072,1024,18.654325005725852,0.013632248664808678,0.05859375,0.026612313861846978,3.6833408793021007,2.9523226420084634,2.4111480712890625,3.852924679758216,0.963231169939554,1.1155031621911908,4,0.08911736806233723,0.0609442392985026,0.02629566192626953,0.4343363444010417,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.12.mlp.up_proj.weight,mxfp4,up_proj,12,bfloat16
3145728,3072,1024,30.39608770812524,0.0009128327839919831,0.02734375,0.026612313861846978,3.6833408793021007,2.9523226420084634,2.4111480712890625,6.545927348386218,0.8182409185482773,1.1155031621911908,4,3.1789143880208335e-06,0.012711207071940104,0.008962631225585938,0.21486409505208334,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.12.mlp.up_proj.weight,mxfp8,up_proj,12,bfloat16
1048576,1024,1024,18.690323722412046,0.013519717836778057,0.0615234375,0.025678546168380268,5.07673360770311,2.9227304458618164,2.399292469024658,3.849398671875176,0.962349667968794,1.355076238346669,5,0.08727550506591797,0.05733203887939453,0.02392292022705078,0.413177490234375,32768,4.25,2097152,557056,Qwen3-0.6B,model.layers.12.self_attn.k_proj.weight,mxfp4,k_proj,12,bfloat16
1048576,1024,1024,30.44570905322779,0.0009024623544395202,0.0302734375,0.025678546168380268,5.07673360770311,2.9227304458618164,2.399292469024658,6.5314342516384185,0.8164292814548023,1.355076238346669,5,6.67572021484375e-06,0.011260032653808594,0.007846832275390625,0.189239501953125,32768,8.25,2097152,1081344,Qwen3-0.6B,model.layers.12.self_attn.k_proj.weight,mxfp8,k_proj,12,bfloat16
2097152,1024,2048,18.646558064640292,0.013656650450239581,0.052734375,0.02325686118793098,3.918600960133696,2.891982078552246,2.3932106494903564,3.8578566114501416,0.9644641528625354,1.2867539847722183,5,0.08544301986694336,0.0621795654296875,0.02624988555908203,0.4580535888671875,65536,4.25,4194304,1114112,Qwen3-0.6B,model.layers.12.self_attn.o_proj.weight,mxfp4,o_proj,12,bfloat16
2097152,1024,2048,30.317009985821237,0.0009296061782502132,0.021484375,0.02325686118793098,3.918600960133696,2.891982078552246,2.3932106494903564,6.527970656084845,0.8159963320106056,1.2867539847722183,5,5.7220458984375e-06,0.012464523315429688,0.008671760559082031,0.2131500244140625,65536,8.25,4194304,2162688,Qwen3-0.6B,model.layers.12.self_attn.o_proj.weight,mxfp8,o_proj,12,bfloat16
2097152,2048,1024,18.73559526531853,0.01337951816347092,0.0615234375,0.030253143968946603,7.121385912521714,2.9287045001983643,2.4042532444000244,3.8483041213818154,0.9620760303454539,1.4817637037070588,5,0.08766460418701172,0.05760335922241211,0.024409770965576172,0.4078521728515625,65536,4.25,4194304,1114112,Qwen3-0.6B,model.layers.12.self_attn.q_proj.weight,mxfp4,q_proj,12,bfloat16
2097152,2048,1024,30.508338195059675,0.000889541431083479,0.0302734375,0.030253143968946603,7.121385912521714,2.9287045001983643,2.4042532444000244,6.535303385912744,0.816912923239093,1.4817637037070588,5,4.291534423828125e-06,0.011634349822998047,0.008103370666503906,0.191253662109375,65536,8.25,4194304,2162688,Qwen3-0.6B,model.layers.12.self_attn.q_proj.weight,mxfp8,q_proj,12,bfloat16
1048576,1024,1024,18.647230483690766,0.01365453615189008,0.03125,0.026346269009706318,3.4163057302630517,2.971564769744873,2.4186670780181885,3.8512646273333218,0.9628161568333304,1.1237968398671103,4,0.0905141830444336,0.06171989440917969,0.027276039123535156,0.431610107421875,32768,4.25,2097152,557056,Qwen3-0.6B,model.layers.12.self_attn.v_proj.weight,mxfp4,v_proj,12,bfloat16
1048576,1024,1024,30.360374146392907,0.0009203702780785932,0.01513671875,0.026346269009706318,3.4163057302630517,2.971564769744873,2.4186670780181885,6.556386626140183,0.8195483282675229,1.1237968398671103,4,4.76837158203125e-06,0.013288497924804688,0.009321212768554688,0.220916748046875,32768,8.25,2097152,1081344,Qwen3-0.6B,model.layers.12.self_attn.v_proj.weight,mxfp8,v_proj,12,bfloat16
